policy_id,policy_priority,tag_well_or_pad,tag_lvl5,label_contains,estimation_class,driver_family,approval_basis,approval_notes
P029,66,*,Sampling and Lab Analysis,,campaign_tied,campaign_compliance,curated_campaign_compliance,Sampling and lab analysis stays campaign-only compliance scope.
P030,67,*,Security,,campaign_tied,shared_support,curated_campaign_support,Security stays campaign-only shared support.
P031,80,*,API non API Machine Shop Service,,well_tied,well_scope,curated_well_scope,Machine shop service is treated as direct well scope.
P032,81,*,"Bits, Reamer and Core heads",,well_tied,well_scope,curated_well_scope,Bits and reamers are treated as direct well scope.
P033,82,*,Casing Installation,,well_tied,well_scope,curated_well_scope,Casing installation is treated as direct well scope.
P034,83,*,"Cement, Cementing & Pump Fees",,well_tied,well_scope,curated_well_scope,Cementing cost is treated as direct well scope.
P035,84,*,Contract Rig,,well_tied,well_scope,curated_well_scope,Contract rig cost is treated as direct well scope.
P036,85,*,Coring,,well_tied,well_scope,curated_well_scope,Coring cost is treated as direct well scope.
P037,86,*,Directional Drilling & Surveys,,well_tied,well_scope,curated_well_scope,Directional drilling cost is treated as direct well scope.
P038,87,*,"Drilling Safety, Health & Environment",,well_tied,well_scope,curated_well_scope,Operational SHE cost is treated as direct well scope.
P039,88,*,Equipment Rental,,well_tied,well_scope,curated_well_scope,Equipment rental is treated as direct well scope.
P040,89,*,Explosive,,well_tied,well_scope,curated_well_scope,Explosive usage is treated as well-driven operational scope.
P041,90,*,Explosive Handling & Permitting,,well_tied,well_scope,curated_well_scope,Explosive handling and permitting is treated as direct well scope.
P042,91,*,Land Transportation,,well_tied,well_scope,curated_well_scope,Operational land transportation is treated as direct well scope.
P043,92,*,Logging Cost,,well_tied,well_scope,curated_well_scope,Logging cost is treated as direct well scope.
P044,93,*,Material,,well_tied,well_scope,curated_well_scope,Well material cost is treated as direct well scope.
P045,94,*,Mud Logging Service,,well_tied,well_scope,curated_well_scope,Mud logging service is treated as direct well scope.
P046,95,*,"Mud, Chemical and Engineering Service",,well_tied,well_scope,curated_well_scope,Mud and chemical service is treated as direct well scope.
P047,96,*,NDT Inspection,,well_tied,well_scope,curated_well_scope,NDT inspection is treated as direct well scope.
P048,97,*,Open Hole Electrical Logging Service,,well_tied,well_scope,curated_well_scope,Open hole logging is treated as direct well scope.
P049,98,*,Other Transportation,,well_tied,well_scope,curated_well_scope,Other transportation is treated as direct well scope.
P050,99,*,Rig Inspection,,well_tied,well_scope,curated_well_scope,Rig inspection is treated as direct well scope.
P051,100,*,Service,,well_tied,well_scope,curated_well_scope,Well service posting is treated as direct well scope.
P052,101,*,Service Lines & Communication,,well_tied,well_scope,curated_well_scope,Service lines and communication are treated as direct well scope.
P053,102,*,Supervision,,well_tied,well_scope,curated_well_scope,Supervision is treated as direct well scope.
P054,103,*,Vehicle Inspection,,well_tied,well_scope,curated_well_scope,Vehicle inspection is treated as direct well scope.
P055,104,*,Welding Service,,well_tied,well_scope,curated_well_scope,Welding service is treated as direct well scope.
